RANK,Name,POS,ADP,BYE,NOTES,gFAN PTS,gYDS Passing,gTDS Pass,gREC Receiving,gYDS  Recieiving,gTDS Reciieving,gATT rushing,gDS rushing,gTDS rushing,yFAN PTS,yYDS Passing,yTDS Pass,yREC Receiving,yYDS  Recieiving,yTDS Reciieving,yATT rushing,yYDS rushing,yTDS rushing
53,Dak Prescott DAL ,QB3,54,10,"We all know that Cam Newton was a pretty dang good fantasy quarterback throughout his career, right? Like, one of the best of this generation. Or how about Drew Brees, he‘s been extremely good and consistent throughout his career. What happens when we look at them and Prescott side-by-side? Prescott‘s numbers have been just as good, if not better. He‘s never finished outside the top-12 quarterbacks and is about to play in the same system that just netted him the QB2 finish. Did I mention he also had CeeDee Lamb added to his arsenal? And do you remember all those years we drafted Aaron Rodgers as the top quarterback? That was with Mike McCarthy as his head coach (Prescott‘s new coach). If you‘re on the clock and choosing between Prescott, Kyler Murray, Deshaun Watson, and Russell Wilson, I‘m choosing Prescott. There‘s the least number of variables with him, though Wilson is close. I‘ll leave you with this: Since Amari Cooper joined the team, Prescott has completed 616-of-916 passes (67.2 percent) for 7,369 yards (8.04 yards per attempt), 44 touchdowns, and 15 interceptions. That‘s over a span of 25 games. He‘s also rushed for 346 yards and seven touchdowns.",21.8,306.4,1.9,0,0,0,3.3,17.3,0.2,348.78,4902,30,0,0,0,52,277,3
54,Raheem Mostert SF ,RB24,54.9,11,"After the way Mostert played in the playoffs, many were looking forward to a 2020 breakout season, and it helps knowing that Matt Breida was traded to the Dolphins. The issue is that they are getting Jerick McKinnon back, still have Tevin Coleman, and Jeff Wilson. The passing game also got a new weapon, which could lead to slightly more pass attempts. Despite being on the roster the past two years under Shanahan, Mostert has received 171 carries in 25 games. It‘s tough to see that changing drastically. There‘s a chance, which is why he‘s in the high-end RB3 conversation, but there‘s also a chance you can‘t start him with confidence every week.",9.4,0,0,0.9,11.3,0.1,8.6,48.3,0.5,151.2,0,0,14,180,2,137,772,8
55,DeVante Parker MIA ,WR24,57.8,11,"It‘s about time, right? I remember last year on the podcast talking about Parker, saying there‘s a clear avenue for him to see 100-plus targets and that if Fitzpatrick was starting, I wanted him on my roster. Here we are 128 targets and a No. 7 wide receiver finish later. Fun fact: Parker and Michael Thomas were the only two receivers who posted at least 55 yards in 13 games last year. You were able to get Parker outside the top 60 wide receivers last year, something that isn‘t happening this time around. His current draft position is right around WR20-22, so you‘re receiving a discount from last year‘s production, and rightfully so. Preston Williams is back from his ACL injury, which isn‘t great news for Parker, who was the No. 34 wide receiver through nine weeks with Williams in the lineup. That was really solid for him considering where he was drafted, but once Williams left, Parker exploded and finished as the No. 2 wide receiver the remainder of the season. Part of the reason that happened was due to Ryan Fitzpatrick‘s willingness to target him relentlessly, as he averaged 9.5 targets per game over that span. To be fair, Williams is coming back, but both Allen Hurns and Albert Wilson have opted out of the season, clearing up 110 targets from last year. Knowing Fitzpatrick is starting the season under center helps me feel more confident in Parker, but there‘s certainly hesitation in drafting him this year as the Dolphins defense is going to be much better, which will result in fewer pass attempts, and that they‘ll be moving to a rookie quarterback at some point. I think he‘s best viewed as a stable WR3 who comes with top-12 upside. If I knew Fitzpatrick would start all year, he‘d be a WR2.",10.9,0,0,4.5,75.1,0.6,0,0,0,174.2,0,0,72,1202,9,0,0,0
56,Keenan Allen LAC ,WR25,58.6,10,"Did you know Allen hasn‘t topped six touchdowns in any of the last six seasons? That‘s despite Philip Rivers throwing at least 28 touchdowns in five of them. He‘s a phenomenal route runner, but not the go-up-and-get-it receiver you‘ll fall in love with in the red zone. The move to Tyrod Taylor is likely going to be a tough one for Allen, as Taylor will lack pass attempts in comparison to Rivers. Even if we were to say the Chargers threw the ball 500 times (Taylor‘s career-high is 437 attempts), that‘s still a massive decrease from the 597 times they threw the ball in 2019. Taking away 97-plus targets will be felt throughout the depth chart, especially when you don‘t score a lot of touchdowns. It does help that the Chargers receiving corps is very top heavy with Allen and Mike Williams, though. Still, it‘s likely there‘ll be less than 250 targets between the Chargers receivers, so Allen isn‘t getting close to the 149 targets he got in 2019. Realistically, he‘s likely to be in the 110-120 target range. That‘s still enough for low-end WR2/high-end WR3 numbers, but don‘t expect the same Allen whose been relied upon as a borderline WR1 anymore.",9.8,0,0,6.5,74.9,0.4,0.2,1,0,157.5,0,0,104,1199,6,3,16,0
57,Russell Wilson SEA ,QB4,58.6,6,"The knock on Wilson has forever been “he doesn‘t throw the ball enough!"" That argument only holds so much water, as Wilson has now finished as a top-three fantasy quarterback in four of the last six seasons. Let me tell you... if Wilson attempted 600 pass attempts, he‘d under consideration as the first quarterback off the board. Despite topping out at 553 attempts, Wilson has thrown at least 31 touchdowns in four of the last five seasons. There‘s been just one season he‘s averaged less than 7.7 yards per attempt. He‘s hit a 6.0 percent touchdown percentage in 6-of-8 career seasons. He‘s the good stuff. Can we anticipate more pass attempts? Sure we can. The first year under Brian Schottenheimer they threw the ball just 427 times. The second year (2019), that number went up to 516 attempts. Why did that happen? Not because the run game wasn‘t effective. It certainly was. It‘s because the Seahawks defense has trended in the wrong direction, which bodes well for Wilson‘s pass attempts. They did just trade for Jamal Adams, which will certainly help matters, but their front seven doesn‘t generate a whole lot of pressure. If they lose Jadeveon Clowney, it only gets worse, but I‘d consider 516 attempts the floor for Wilson in 2020. When you add in the growth/chemistry between Wilson and D.K. Metcalf, the ceiling continues to grow. Don‘t forget that Metcalf was a rookie last year, while Tyler Lockett dealt with injuries over the second half of the season. I can‘t say Wilson gets to 600 pass attempts, but we don‘t need him to in order to produce elite numbers, as we‘ve seen. Provided he‘s healthy, his floor is likely a top-six quarterback, something not many can say.",20.9,256.9,1.9,0,0,0,4.7,21.4,0.2,333.6,4110,31,0,0,0,75,342,3
58,Darren Waller LV ,TE5,60.2,6,"There was just one tight end in all of football who finished all 16 games with at least 7.0 PPR points. It was Waller. Not only that, but he also offered a ceiling, hitting 16-plus points on five separate occasions. The issue with relying on that again is the new competition for targets. As much as we don‘t want to consider Jason Witten a threat, he‘s going to steal some targets. Not just him, but Henry Ruggs, Lynn Bowden, and Bryan Edwards are all guys who‘ll demand some sort of target share. I still view Waller as a top-five tight end, though he‘s teetering there.",8.2,0,0,5.6,71.6,0.2,0.1,0.3,0,131,0,0,90,1145,3,2,5,0
59,Kyler Murray ARI ,QB5,60.6,8,"There‘s a realistic scenario where Murray is the QB1 at the end of the season, though I can‘t say we should expect it. In the first year of Kliff Kingsbury‘s offense, he averaged just 6.9 yards per attempt. While it was his rookie season, the Cardinals also had the element of surprise, in that no one had existing tape on the offense. Adding DeAndre Hopkins surely helps his chances, though. Did you know there were six games that Murray didn‘t throw a touchdown last year? Based on where his pass attempts and rushing attempts took place, Murray should‘ve scored the third-most fantasy points among quarterbacks last year. Natural progression to his career should improve efficiency. If you‘re looking for upside, he‘s got it. He belongs in the same tier as guys like Dak Prescott, Russell Wilson, and Deshaun Watson. The difference between him and those guys? They‘ve proved to be top-three fantasy quarterbacks already.",18.6,232.6,1.3,0,0,0,5.8,34,0.3,297.28,3722,20,0,0,0,93,544,4
60,Stefon Diggs BUF ,WR26,60.7,11,"Going from Kirk Cousins to Josh Allen isn‘t going to be a highlight of Diggs’ career, as Cousins has continually been one of the better deep-ball passers, while Allen was among the worst in 2019. Diggs actually led the league in yardage on passes that traveled over 20 yards in the air last year. The Bills are still a run-first team that has a top-tier defense, so it‘s hard to expect a big jump in pass attempts. They targeted their wide receivers 310 times last year, which was a lot for a team that threw the ball just 513 times. The 60.4 percent target share was the fourth-highest mark in the league. So, again, it‘s tough to say there will be more to go around. Knowing that John Brown was fantastic last year (115 targets), as was Cole Beasley (104 targets), it‘s tough to take targets away from them, but we have to start taking them from someone because you don‘t trade for someone like Diggs and not target him. Still, giving him even 115 targets might be too generous, as it‘d completely crush the value of Brown, who already has experience with the quarterback/offense. Realistically, I have Diggs down for 111 targets in my projections. When tied to Allen‘s inconsistencies, that is a WR3 in fantasy who can get into WR2 territory at year‘s end, similarly to the way Brown did last year. Diggs is probably a top-eight wide receiver in the league, but you need to targets to move up the boards in fantasy football. I‘d be happy landing him as my WR3, but that‘s about it.",9.9,0,0,4.2,75.3,0.4,0.3,4.1,0,149.1,0,0,63,1130,6,5,61,0
61,David Montgomery CHI ,RB25,60.9,11,"Montgomery had a rough 2019 season, but there are plenty of reasons to expect him to be much better in 2020. He has no real competition for carries, he was used heavily within the 10-yard line last year, and the entire Chicago offense should be better with the expected switch to Nick Foles at quarterback. Although his season-long outlook is good, he suffered a groin injury in camp and is expected to miss 2-to-4 weeks, putting Week 1 in jeopardy. Unless the Bears sign another running back of significance, however, you can draft Montgomery and expect him to be back at full strength shortly after the start of the season. Take the draft day discount, however, and target him more as a mid-tier Flex play.",9.1,0,0,1.6,11.6,0.1,15.1,55.6,0.4,145.4,0,0,25,185,1,242,889,6
62,T.Y. Hilton IND ,WR27,61.3,7,"As a soon-to-be 31-year-old coming off an injury-plagued season and playing with a new quarterback, it‘s not a good look to show up to camp with a non-football hamstring injury. There will be no preseason game action for him to build any chemistry with his new quarterback, so training camp was important. Hilton has never been a touchdown guy, as his career high is capped out at seven touchdowns. So, he‘s reliant upon targets more than someone like D.K. Metcalf, who can score 10 touchdowns. Not only do we have to worry about Hilton‘s health and age, but we also have to worry about his quarterback‘s. Philip Rivers was not good last year and hasn‘t traditionally thrown to guys like Hilton who are undersized and play on the perimeter. With so many variables and lack of true upside, I‘m okay fading Hilton, especially at his current cost. If you‘re able to land him as a backend WR3, I‘m okay with the risk/reward, as there aren‘t too many safe options in that range.",8,0,0,4.5,50.1,0.5,0,0,0,80.1,0,0,45,501,5,0,0,0
63,Cam Akers LAR ,RB26,62.3,9,"The Rams were going to draft a running back - we knew that after they interviewed a ton of them in the draft process. What we didn‘t know was that they‘d take one with their first pick in the draft. While Darrell Henderson is a threat to Akers’ overall workload, they clearly know what they have in Henderson, and drafted Akers early. It seems like Henderson is going to be the lesser part of the timeshare, while Akers is the early-down back and likely to receive goal-line work. There‘s a chance Henderson has a bigger role than anticipated, which prevents us from trusting Akers as anything more than a high-end RB3.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Deshaun Watson HOU ,QB6,62.3,8,"After finishing as the No. 4 quarterback in back-to-back seasons, many are starting to slide Watson down draft boards due to the loss of DeAndre Hopkins. We‘ve never seen Watson without Hopkins, which certainly does raise some questions, but it also could provide an outlet for even more rushing yards for him. Watson maneuvers the pocket extremely well and buys himself time to find open receivers. Now without his safety blanket in Hopkins, we could see his rushing ceiling go up. Did you know he rushed for at least 32 yards in 9-of-15 games last year but never topped 47 rushing yards? That‘s odd, to say the least. The Texans defense will be as bad as it‘s ever been with Watson under center, which should mean even more dropbacks. The reason I‘m still okay drafting Watson as a top-six quarterback: He‘s only thrown 26 touchdown passes in each of the last two years and has still been a top-12 type quarterback in 63.2 percent of his career games, which is the second-highest rate since 2000, behind only Patrick Mahomes. For context, there were just seven quarterbacks who topped 50 percent last year alone. Watson may not have the passing ceiling without Hopkins, but I‘m expecting his rushing totals to make up for some of that, leaving him in the top-six quarterbacks.",22.1,256.8,1.7,0,0,0,5.5,27.5,0.5,331.98,3852,26,0,0,0,82,413,7
65,Michael Gallup DAL ,WR28,63.2,10,"It‘s funny how I‘ve become someone who‘s viewed as a “Gallup hater” in some circles. Let it be known that Gallup was one of my favorite receiver prospects in the 2018 draft class. But guys, he‘s not better than Amari Cooper. It‘s clear that Gallup benefits from Cooper‘s presence in the lineup and has fit into his field-stretching role rather nicely. Now, the question becomes: How much does CeeDee Lamb affect Gallup‘s target share? When Lamb was first drafted, I was concerned, but after sitting down and going through projections, I was still able to find 100-105 targets for him in the offense, which should net him a WR3 finish in fantasy. There are some risks taking him inside the top-30 because you‘re taking on some of the risk that Lamb doesn‘t eat into his target share a bit more, though it‘s a smaller risk knowing we‘ve had a shortened offseason with no preseason action. I have Gallup as a back-end WR3 in fantasy with upside for a bit more if Lamb takes time to develop, which is not out of question. If Cooper missed time, Gallup would be my favorite receiver in the offense and a high-end WR2 start most weeks.",10.5,0,0,4.7,79.1,0.4,0,0,0,146.7,0,0,66,1107,6,0,0,0
66,Marquise Brown BAL ,WR29,68.1,8,"He was coming off foot surgery last year, and it was the reason I was avoiding him in drafts. Same calendar year surgery on foot/ankle never goes well for pass catchers. Still, Brown went out there and played well the first two weeks, racking up 253 yards and two touchdowns over the first two weeks. Unfortunately, the injuries to his lower body added up as the year went on and his performances reflected that, as he topped 50 yards just once over the remaining 12 games he played. Offensive coordinator Greg Roman has said Brown‘s “had a great offseason."" Brown‘s schedule is great to start the year, too. In Weeks 2-5, he‘ll play against the Texans, Chiefs, Washington, and Bengals. The upside to Brown is a DeSean Jackson-like presence of someone who won‘t be a consistent WR1, but rather one you play as a WR2/3 who gives you “boom” potential on a weekly basis. However, if the Ravens don‘t up their pass attempts, it‘ll be hard figuring out when those booms will come. Relying on him as more than a WR3 this year would probably be a mistake, because there‘s not much evidence suggesting they‘ll throw the ball a lot more than they did in 2019.",7.2,0,0,3.3,41.7,0.5,0,0,0,100.4,0,0,46,584,7,0,0,0
67,D'Andre Swift DET ,RB27,69.8,5,"Some are automatically assuming that Swift will get 20 touches per game in the Lions offense, though I‘m not part of that group. Kerryon Johnson has been solid for the Lions when on the field, though he‘s had issues staying on the field, and the Lions are tired of bringing in guys like LeGarrette Blount, C.J. Anderson, and Bo Scarbrough. So, they‘ll likely work both running backs to keep them healthy and fresh. I do believe Swift is the better back, hence the higher ranking, but expecting more than 12-14 touches per game out of the gate would be a mistake.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Devin Singletary BUF ,RB28,70,11,"There were many celebrating the end of the Frank Gore era in Buffalo, but they went out and added one of my favorite backs in the draft, Zack Moss, to use in that Gore role. GM Brandon Beane said, “I think more of the goal line and things like that as we did with Frank last year, you‘ll see Zack do. I think Devin will do a similar role that he had."" This is your reminder that Singletary had just two carries inside the five-yard-line all year, while Josh Allen had five, and Frank Gore had 11. That‘s a crushing blow to Singletary‘s value.",9.9,0,0,2.4,16.2,0.2,12.6,64.6,0.2,118.9,0,0,29,194,2,151,775,2
69,Jarvis Landry CLE ,WR30,72.8,9,"Did you know there have been just three wide receivers who‘ve finished as a top-24 wide receiver in each of the last five years? Julio Jones, Mike Evans, and Landry. The way he got there in 2019 wasn‘t ideal (posted WR2 or better numbers just 31.3 percent of the time), but it was a horrendous offense. The issue now is that he‘s coming off hip surgery this offseason. While it seems like his recovery has gone well, that could be something to hold him back from being as consistent as he‘s been the last few years in Cleveland. Another hurdle is the limited targets that may be available in Stefanski‘s offense. The Vikings receivers combined for just 201 targets last year, and it would appear the Browns are trying to recreate that offense with both Austin Hooper and David Njoku in 2TE sets, while using the run game heavily. There‘s been just two times in Landry‘s career where he‘s finished with more than 7.0 yards per target, and he‘s scored more than six touchdowns just once. If he‘s cut down anywhere close to the 100-110-target mark, which seems very likely, it‘s really going to hurt his fantasy impact. Because of that, he‘s a WR3, and one who might be a bit dicier than in past years.",9.7,0,0,5.2,73.4,0.4,0.1,0.6,0,154.4,0,0,83,1174,6,1,10,0
70,A.J. Green CIN ,WR31,73.5,9,"I get it, he hasn‘t been healthy the last two years. However, when he‘s been on the field, Green has been a legitimate superstar. Since 2000, here‘s the list of wide receivers who‘ve posted WR2 or better type numbers at a higher percentage than Green: Michael Thomas, Julio Jones, Antonio Brown, and Odell Beckham. That‘s the end of the list. He‘s played his entire career with Andy Dalton. Now moving to Joe Burrow, the quality of the targets should improve. You could argue that Green didn‘t have a chance to work with Burrow this offseason, but that‘s the case with all of Burrow‘s new group of pass catchers. There is legitimate top-10 upside with Green, which is extremely hard to find where he‘s being drafted. There‘s risk, but with where he‘s being drafted, it‘s worth it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Tyler Boyd CIN ,WR32,75.4,9,"After finishing as the WR17 in 2018 and then the WR23 in 2019, Boyd‘s being disrespected in fantasy drafts, coming off the board outside the top 30 wide receivers. Sure, A.J. Green is back in the lineup, but drafters aren‘t high on him, either. Oddly enough, Boyd was a better fantasy asset with Green in the lineup in 2018. Boyd is 25 years old, it‘s surely not his age. Do people really think that Joe Burrow will be a downgrade from Andy Dalton? That can‘t be it. Looking at Burrow at LSU, his top receiver (stat-wise) was Justin Jefferson, who put up a stupid 111 receptions for 1,540 yards and 18 touchdowns. Jefferson was his slot receiver. While it‘s a different offense, we know Boyd saw 147 targets in the first year of Zac Taylor‘s offense. He‘s the ideal WR3 who‘s already proven to be better than that, and if the public is right on Green being “done”, then Boyd would be a mega-hit in fantasy.",8.3,0,0,5.6,65.4,0.3,0.3,1.4,0,132.9,0,0,90,1046,5,4,23,0
72,Evan Engram NYG ,TE6,77.6,11,"Since coming into the league, Engram has been one of the most consistent tight ends in the league. Don‘t believe me? I‘ve tracked all tight ends since the start of the 2000 season and Engram has posted TE1-type numbers in 58.8 percent of his games. The only players with higher percentages over that time are Travis Kelce, Rob Gronkowski, and George Kittle. Engram hasn‘t had the upside of someone like Jimmy Graham or Tony Gonzalez, but he‘s been reliable. Now in an offense with more weapons than ever, will that continue? Even with most of them on the field last year, there was just one game where he saw less than seven targets (he still saw five). Do you know how many tight ends averaged more than even 6.5 targets last year? Six. Engram averaged 8.5 targets, so even if we knocked off a full 1.5 targets per game, he‘d still be in elite territory. Injuries have added up, though, and he‘s missed 13 games over the last two years, which is why he doesn‘t belong in the elite conversation. You need a discount to take players like him. Fortunately, you‘re getting that, as he‘s the eighth tight end to come off draft boards in the seventh round.",8.2,0,0,5.5,58.4,0.4,0.4,0.9,0,65.4,0,0,44,467,3,3,7,0
73,Josh Allen BUF ,QB7,79.2,11,"Did you know that 36.4 percent of Allen‘s fantasy production came on the ground last year? His nine rushing touchdowns were the sixth-most all-time, while his 631 rushing yards ranked 18th on that list. According to where his carries took place on the field, he scored 30.97 more fantasy points than he was supposed to on the ground alone. As a passer, he scored 1.66 fewer fantasy points than expected. The Bills want to play solid defense with a ball control style offense, and knowing Allen‘s strengths, they‘ll be running the ball quite a bit. The addition of Zack Moss to the backfield will lower Allen‘s rushing touchdown ceiling, as Moss is a better version of 2019‘s Frank Gore. Not many realize Gore ranked 13th among running backs for carries inside the five-yard-line. Adding Stefon Diggs will certainly help his choices when scanning the field, but Allen needs to get better completing the deep ball. My issue with Allen is his inconsistency, and I can best explain it with this stat: It took 18.6 fantasy points on average to finish as a top-12 quarterback in 2019. Allen hit that mark just 43.8 percent of the time, which was worse than Ryan Fitzpatrick, and the same percentage as Jared Goff. Sure, the booms will be bigger with Allen than those guys, but he‘s not someone you want to put in your starting lineup every week.",18.6,193.1,1.3,0,0,0,6.8,31.9,0.6,297.56,3089,20,0,0,0,109,510,9
74,Matt Ryan ATL ,QB8,79.8,10,"His finishes over the last four years are (most recent first): QB11, QB2, QB15, QB2. So, are we supposed to expect another QB2 finish this year? The bad news is that Ryan offers nothing on the ground. The good news is that he‘s played under Dirk Koetter in four separate seasons and has finished top-8 in pass attempts in each of them. It also doesn‘t hurt throwing to Julio Jones, Calvin Ridley, and now Todd Gurley and Hayden Hurst. Knowing there isn‘t any running back depth behind the trending-downward Gurley, it seems more likely than ever that Ryan chucks the ball up 620-plus times. His weekly floor won‘t be as high as some of the top-six quarterbacks, but Ryan is certainly in the next tier. The best part is that you get him at a discount because he‘s not the “sexy” pick that someone like Josh Allen is. He‘s my No. 7 quarterback and I feel pretty good about that.",18.8,297.7,1.7,0,0,0,2.3,9.8,0.1,281.34,4466,26,0,0,0,34,147,1
75,Kareem Hunt CLE ,RB29,75.2,9,"The Browns are going to have a new offense in 2020, so we can‘t automatically assume that Hunt will be as big as he was in the gameplanning process in 2020. From the time he entered the lineup last year, he was the No. 26 running back in half-PPR formats while Nick Chubb was the No. 18 running back. The reason we have to assume he‘ll have a role is due to the Browns tendering him with a second rounder instead of moving on. Chubb is the superior play in this backfield, but it‘s important to note that Hunt has standalone value, while also offering league-winning handcuff value. If Chubb were to miss time, Hunt would be a top-five play.",7.2,0,0,4.1,31.7,0.1,4.8,19.9,0.2,64.4,0,0,37,285,1,43,179,2
76,Marvin Jones DET ,WR33,81,5,"When doing the “Boom, Bust, and Everything In Between” series, I can‘t help but notice how undervalued Jones is nearly every season. The “bust” score is anything less than 8.0 PPR points. Jones busted just 23.1 percent in 2019, the 22nd lowest mark among wide receivers. He was at just 22.2 percent in 2018, the 25th lowest mark. And lastly, he was at just 18.8 percent in 2017, the ninth-lowest mark. Meanwhile, he‘ll give you big games here and there while not completely tanking your team. If you want to wait at wide receiver in your draft and play him as your WR3, it‘s not that bad.",10.1,0,0,4.8,59.9,0.7,0.2,0,0,131.9,0,0,62,779,9,2,0,0
77,Will Fuller HOU ,WR34,82.6,8,"Even with DeAndre Hopkins on the field, Fuller has totaled 116 targets in 18 games over the last two years (6.4 per game), which is more than enough to do damage, especially when you‘ve averaged 14.3 yards per reception over your career. Fuller‘s volume will be there when he‘s in the lineup, as Hopkins’ 150-plus targets have to go somewhere, and Fuller is the only one returning to the starting lineup who has any familiarity with Deshaun Watson. You must understand the nature of his game before drafting him though. He‘s finished with fewer than 8.0 PPR points in 20-of-42 career games. He‘s also finished with more than 20.0 PPR points in nine games. He‘s been the definition of a boom-or-bust receiver, and one who‘s been hurt a lot (missed 22 games over four years). Still, with Hopkins gone, Fuller should see a bump in targets and become a bit more stable. If he‘s healthy, you should have zero issue plugging him in as your WR3 with top-10 upside. You‘re getting a discount due to his health concerns.",7.7,0,0,4.5,60.9,0.3,0,0,0,85,0,0,49,670,3,0,0,0
78,Jordan Howard MIA ,RB30,82.7,11,"It seems like years since Howard has been a force to reckon with in fantasy football, but prior to the 2019 season that was ended with injuries, he‘d posted 935 or more rushing yards in each of the previous three seasons. The issue with projecting that moving forward is due to his offensive line play. The Dolphins have what may be the worst line in football, while Howard has only run behind top-10 offensive lines while in Chicago and Philadelphia. Still, if you need a running back who‘s likely locked into 12-plus touches a week, Howard can fill a role on your fantasy team.",10.1,0,0,1,6.9,0.1,11.9,52.5,0.6,101.4,0,0,10,69,1,119,525,6
79,Julian Edelman NE ,WR35,83.2,6,"Did you realize Edelman has seen 793 targets over his last 83 games? That‘s a pace of 152.9 targets per season. But what happens when your whole world is flipped upside down? Losing Tom Brady is going to affect Edelman more than anyone, as those two had a connection and were continually on the same page. The Patriots also threw the ball 620 times last year, a number they won‘t even come close to in 2020. It‘s a different offense, yes, but did you know Cam Newton has never thrown more than 517 pass attempts in a single season? He‘s also failed to throw for more than 3,869 yards since his rookie year and has thrown more than 24 touchdowns just once. Meanwhile, Edelman has never averaged more than 7.9 yards per target. What does that mean? Even if he were to get 125 targets, his career-best wouldn‘t have totaled 1,000 yards. There‘s a lot of issues and question marks surrounding Edelman, and we haven‘t even discussed him turning 34 years old this offseason. He‘s likely to post low-upside WR3 numbers when on the field, but that‘s been a chore in itself, as he‘s played all 16 games just three times over his 11 years in the league. If you take the late-WR approach in drafts, it‘s not the worst thing to have Edelman as your WR3, but ideally, he‘s your WR4 with all the question marks and lack of upside.",9.8,0,0,6.3,69.8,0.4,0.5,1.7,0,156.28,0,0,100,1117,6,8,27,0
80,Hunter Henry LAC ,TE7,87.7,10,"There are a lot of questions surrounding the Chargers offense as we head into 2020, and the quarterback position is atop the list. No matter who is under center, they‘re not going to be throwing the ball a lot. Tyrod Taylor has never attempted more than 436 attempts in a season, and Justin Herbert is a rookie who‘ll go through growing pains. We already saw Henry being somewhat scaled back in this offense last year, as he failed to top 45 yards in each of the last five games. For a guy who‘s never topped 652 yards in a season and getting a downgrade at quarterback, he has a high draft price, and is likely not going to live up to expectations.",7.9,0,0,4.6,54.3,0.4,0,0,0,95.2,0,0,55,652,5,0,0,0
81,Tyler Higbee LAR ,TE8,89.2,9,"While it‘s easy to fall in love with the way Higbee ended the season, we mustn‘t forget that it‘s a very small sample size. He finished with 522 yards and two touchdowns over the final five games while seeing a massive 56 targets. He and Gerald Everett COMBINED for 85 targets the entire 2018 season. Injuries certainly helped Higbee get more targets as the year went on, but are we certain it‘ll continue in 2020? If you don‘t have to spend a pick in the top five or six rounds to get him, it‘s worth finding out.",6.1,0,0,4.6,48.9,0.2,0,0,0,91.4,0,0,69,734,3,0,0,0
82,Brandin Cooks HOU ,WR36,85.1,8,"There have been just nine wide receivers who‘ve finished as a top-24 receiver in at least four of the last five years. Julio Jones, Mike Evans, Jarvis Landry, Michael Thomas, DeAndre Hopkins, Antonio Brown, Davante Adams, Amari Cooper, and... Cooks. He‘s done that with three different quarterbacks, and it‘s hard to say Deshaun Watson is a downgrade. The lack of offseason might prove to be a lot for the chemistry between the two, but knowing Cooks has transitioned well in the past, it shouldn‘t take too long. Concussions, on the other hand, are a big worrisome point. He only missed two games due to concussions in 2019, but they‘re starting to add up. It also affected his performance (clearly) in a big way, as he never topped 46 yards in the six games following the injury. There‘s going to be one of Will Fuller or Cooks who shines as a top-30 receiver with top-20 upside, yet neither are being drafted there. Knowing Cooks has been in this situation before, he gets a vote of confidence. If you land him as your WR4, you should be psyched. If Fuller misses any time, he‘d be a must-play WR2 nearly every week.",5.4,0,0,3,41.6,0.1,0.4,3.7,0,75.5,0,0,42,583,2,6,52,0
83,Carson Wentz PHI ,QB9,90.2,9,"Despite missing every starting wide receiver not named Nelson Agholor, Wentz was able to throw for over 4,000 yards and 27 touchdowns in 2019, highlighting just how stable his floor is when healthy. The Eagles rewarded him by drafting three wide receivers, as well as trading for Marquise Goodwin. It‘s worth noting that the Eagles did strengthen their defense, which could lead to fewer pass attempts, but his efficiency should rise. His weekly ceiling may not be as high as someone like Josh Allen, but his weekly floor is much higher.",17.7,252.4,1.7,0,0,0,3.9,15.2,0.1,282.86,4039,27,0,0,0,62,243,1
84,J.K. Dobbins BAL ,RB31,86.9,8,"If you‘re looking for a handcuff to Mark Ingram, Dobbins is your guy. The Ravens apparently had a first-round grade on him in the draft, so selecting him in the second round was a “no brainer,"" according to them. He‘s likely to get 8-10 touches per game even with Ingram in the lineup, as the Ravens are not going to give any one running back more than 15-16 touches per game. That limits the upside of Dobbins, as does Lamar Jackson stealing plenty of goal-line touches.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Drew Brees NO ,QB10,92,6,"I‘m not sure if anyone has realized it, but Brees has broken the age 40 barrier and is now 41 years old. Unlike Tom Brady, Brees is going to retire after this year. His average depth of target continues to decrease, which will require more pass attempts in order to reach QB1 territory. How to prove that? He completed 74 percent of his passes and threw a touchdown on 7.1 percent of his attempts, yet he was just the No. 7 quarterback in fantasy points per game. His ceiling at this point in middling QB1 territory.",20.8,270.8,2.5,0,0,0,0.8,-0.4,0.1,228.76,2979,27,0,0,0,9,-4,1
